Level of Education,Gender,2019,2020,2021,2022,2023
Pre-Primary,Male,25,27,22,21,11
Pre-Primary,Female,587,570,654,535,504
Primary / Preparatory,Male,214,217,225,214,219
Primary / Preparatory,Female,927,936,922,921,936
Secondary / Sixth Form,Male,197,203,180,184,198
Secondary / Sixth Form,Female,328,328,323,327,327
Technical / Vocational,Male,20,30,23,23,23
Technical / Vocational,Female,33,34,28,30,34
Tertiary,Male,38,38,44,45,43
Tertiary,Female,41,35,44,45,46
