name,kampong,mukim,district,longitude,latitude,officiated,used,completed,capacity,estimated_cost,type,category,notes
Masjid Universiti Brunei Darussalam,Kg. Rimba,Mukim Gadong A,Brunei Muara,4.97745717,114.8956841,1995,1994,1994,"1,800","7,600,000.00",masjid,Masjid Mukim,
Masjid Kg. Salambigar,Kg. Salambigar,Mukim Berakas B,Brunei Muara,4.975512257,114.9802715,,1977,1977,"1,500","5,736,520.00",masjid,Masjid Mukim,
Masjid Kg. Serdang,Kg. Serdang,Mukim Kota Batu,Brunei Muara,4.908410782,114.998878,,1996,1996,"1,000","3,641,290.00",masjid,Masjid Mukim,
Masjid Perdana Wangsa Haji Mohammad,Kg. Tarap Bau,Mukim Lumapas,Brunei Muara,4.873237926,114.9449589,,1995,1995,900,"2,655,000.00",masjid,Masjid Mukim,Commonly said to be in Kg Setia but is within Kg. Tarap Bau border
Masjid STKRJ Kg. Lambak Kiri,STKRJ Lambak Kiri,Mukim Berakas A,Brunei Muara,4.987797397,114.9439866,,,,"1,000",,masjid,Masjid Mukim,
Masjid Duli Raja Isteri Pengiran Anak Damit,Kg. Kilanas,Mukim Kilanas,Brunei Muara,4.861131668,114.8627102,2012,2012,2012,"1,000",,masjid,Masjid Mukim,
Masjid RPN Kg. Bukit Beruang,Kg. Bukit Beruang,Mukim Telisai,Tutong,4.734490006,114.6050828,,,,"1,000",,masjid,Masjid Mukim,not in KHEU website
Masjid Haji Abdul Azim,Kg. Luagan Dudok,Mukim Keriam,Tutong,4.816024351,114.7262794,1992,1992,1992,800,"778,948.96",masjid,Masjid Mukim,
Masjid Kg. Lubok Pulau,Kg. Lubok Pulau,Mukim Tanjong Maya,Tutong,4.764327006,114.6622588,,1995,1995,800,"2,818,213.26",masjid,Masjid Mukim,
Masjid Kg. Benutan,Kg. Benutan,Mukim Rambai,Tutong,4.597909188,114.7198468,1996,1996,1996,200,"375,000.00",masjid,Masjid Kampong,
Masjid Kg. Birau,Kg. Birau,Mukim Kiudang,Tutong,4.783104484,114.7566193,1990,1990,1990,300,"515,323.00",masjid,Masjid Kampong,
Masjid Kg. Bukit,Kg. Bukit,Mukim Ukong,Tutong,4.60218176,114.6258561,,1997,1997,200,"300,000.00",masjid,Masjid Kampong,
Masjid Kg. Bang Dalam,Kg. Bukit Bang Dalam,Mukim Lamunin,Tutong,4.663747633,114.6815371,2000,2000,2000,300,"456,000.00",masjid,Masjid Kampong,
Masjid Ar-Rahim,Kg. Bukit Panggal,Mukim Keriam,Tutong,4.828856487,114.7274469,2019,2019,2019,"1,000","3,000,000.00",masjid,Masjid Kampong,
Masjid Kg. Bukit Udal,Kg. Bukit Udal,Mukim Tanjong Maya,Tutong,4.732568422,114.6526171,,1995,1995,200,"240,000.00",masjid,Masjid Kampong,
Masjid Kg. Danau,Kg. Danau,Mukim Telisai,Tutong,4.761576653,114.5865126,,1973,1973,400,"26,000.00",masjid,Masjid Kampong,
Masjid Kg. Keriam,Kg. Keriam,Mukim Keriam,Tutong,4.818292825,114.6934951,,1992,1991,400,"600,000.00",masjid,Masjid Kampong,
