name,latitude,longitude,district
Masjid Kampong Danau,114.5865126,4.761576653,Tutong
Masjid Kampong Keriam ,114.6934951,4.818292825,Tutong
Masjid Kampong Kiudang ,114.7380986,4.745754112,Tutong
Masjid Kampong Kupang ,114.7940176,4.843133499,Tutong
Masjid Kampong Layong,114.6773784,4.690968637,Tutong
Masjid Kampong Lubok Pulau ,114.6622588,4.764327006,Tutong
Masjid Kampong Menengah ,114.7256824,4.657554366,Tutong
Masjid Kampong Penabai ,114.6189298,4.790410573,Tutong
Masjid Kampong Penanjong ,114.6738215,4.835457336,Tutong
Masjid Kampong Penapar ,114.667246,4.721677177,Tutong
Masjid Kampong Sinaut ,114.7452982,4.816542473,Tutong
Masjid Kampong Tanjong Maya ,114.6644979,4.749251014,Tutong
Masjid Kampong Telisai ,114.5640412,4.735218426,Tutong
"Masjid Pengiran Anak Isteri Pengiran Anak Sarah, Kampong Sungai Kelugos",114.7645967,4.804940366,Tutong
Surau Kampong Belabau ,,,Tutong
Surau Kampong Mapol,,,Tutong
Balai Ibadat Kampong Melilas,114.6604705,4.257783931,Belait
Balai Ibadat Kampong Merangking,114.5780094,4.522569356,Belait
Balai Ibadat Kampong Sukang,114.6245817,4.311367776,Belait
"Masjid Al-Mashor, Kampong Sungai Mau",114.4894398,4.555077481,Belait
Masjid Kampong Sungai Teraban ,114.1715305,4.58654468,Belait
"Masjid Mohammad Jamalul Alam, Kuala Belait ",114.1904594,4.585247207,Belait
Masjid Pekan Seria ,114.3334931,4.615650382,Belait
Masjid RPN Kampong Pandan ,114.2324163,4.586281029,Belait
Masjid STKRJ Lorong 3 Selatan Seria ,,,Belait
Masjid Zainab,114.4365039,4.655986512,Belait
Masjid Kampong Belais ,115.0418765,4.672497802,Temburong 
Masjid Kampong Labu Estate,115.1857757,4.763702743,Temburong 
Masjid Kampong Puni ,115.0419382,4.689672633,Temburong 
Masjid Kampong Selangan ,115.097975,4.64534429,Temburong 
"Masjid Pengiran Haji Abu Bakar, Kampong Bokok",115.051689,4.649122124,Temburong 
"Masjid Utama Mohammad Salleh, Pekan Bangar",115.0707725,4.707671074,Temburong 
